UNIQUE_ID,UNIQUE_ID2,STEPSEQ,LOT_ID,Wafer,P_EQPID,Photo_PPID,MMO_MRC_EQP,P_TIME,M_TIME,ChuckID,dCol,dRow,POS_X_VALN,POS_Y_VALN,RK1,RK2,RK3,RK4,RK5,RK6,RK7,RK8,RK9,RK10,RK11,RK12,RK13,RK14,RK15,RK16,RK17,RK18,RK19,RK20,RK21,RK22,RK23,RK24,RK25,RK26,RK27,RK28,RK29,RK30,RK31,RK32,RK33,RK34,RK35,RK36,RK37,RK38,RK39,RK40,RK41,RK42,RK43,RK44,RK45,RK46,RK47,RK48,RK49,RK50,RK51,RK52,RK53,RK54,RK55,RK56,RK57,RK58,RK59,RK60,RK61,RK62,RK63,RK64,RK65,RK66,RK67,RK68,RK69,RK70,RK71,RK72
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_-4,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,-4,-19769.323,-131760.0,0.0,-0.00029,0.0,-0.009989,0.0,-0.056317,0.0,-5.3e-05,0,0.000598,0.0,0.00073,0.0,-0.000307,0,-6.2e-05,0,0.000272,0.0,0,0,0.212743,0,0.00867,0,0.207004,0,0,0,0,0,-0.011949,0,0.061446,0,-0.236972,0,0,0,0,0,0,0,0,0,-0.018703,0,-0.000928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_-3,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,-3,-19769.323,-98820.0,0.0,-0.000424,0.0,0.018192,0.0,-0.027642,0.0,0.003737,0,0.000727,0.0,0.001063,0.0,-0.000244,0,0.000182,0,-5.4e-05,0.0,0,0,-0.131664,0,0.145024,0,0.036963,0,0,0,0,0,0.111306,0,-0.050406,0,-0.06001,0,0,0,0,0,0,0,0,0,-0.064945,0,-0.022861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_-2,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,-2,-19769.323,-65880.0,0.0,6.4e-05,0.0,0.024543,0.0,0.00449,0.0,0.002613,0,-0.002018,0.0,-6.4e-05,0.0,-0.000397,0,-7.7e-05,0,0.000146,0.0,0,0,-0.071128,0,0.288267,0,0.018489,0,0,0,0,0,0.095868,0,0.033798,0,-0.010288,0,0,0,0,0,0,0,0,0,-0.08118,0,-0.015296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_-1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,-1,-19769.323,-32940.0,0.0,-0.000191,0.0,0.02751,0.0,-0.006116,0.0,0.00042,0,-0.002597,0.0,-0.000462,0.0,-0.000496,0,1.5e-05,0,0.000244,0.0,0,0,0.001347,0,0.333245,0,0.278086,0,0,0,0,0,0.171953,0,-0.006177,0,-0.092827,0,0,0,0,0,0,0,0,0,-0.093304,0,-0.138492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_0,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,0,-19769.323,0.0,0.0,8e-06,0.0,0.026172,0.0,0.01787,0.0,0.002888,0,7.4e-05,0.0,-0.002403,0.0,-0.000221,0,-5.8e-05,0,-1.1e-05,0.0,0,0,-0.12108,0,0.053827,0,0.301151,0,0,0,0,0,0.071001,0,-0.00946,0,-0.01705,0,0,0,0,0,0,0,0,0,-0.015472,0,-0.088433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,1,-19769.323,32940.0,0.0,-0.000354,0.0,0.049718,0.0,-0.022093,0.0,0.001316,0,-0.000421,0.0,-0.000439,0.0,-0.000513,0,5.3e-05,0,0.000118,0.0,0,0,-0.002456,0,0.233129,0,0.159368,0,0,0,0,0,0.11721,0,0.010521,0,-0.019664,0,0,0,0,0,0,0,0,0,-0.097687,0,-0.088537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_2,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,2,-19769.323,65880.0,0.0,-0.000401,0.0,0.037784,0.0,-0.014551,0.0,0.003233,0,-0.001769,0.0,0.000114,0.0,-0.000509,0,0.000295,0,8.2e-05,0.0,0,0,-0.126232,0,0.236763,0,0.1849,0,0,0,0,0,0.135117,0,-0.114524,0,-0.002612,0,0,0,0,0,0,0,0,0,-0.064757,0,-0.055532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_3,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,3,-19769.323,98820.0,0.0,-1.1e-05,0.0,-0.00558,0.0,-0.00938,0.0,0.000953,0,0.000685,0.0,-0.002831,0.0,-0.000388,0,0.000129,0,0.000104,0.0,0,0,-0.059232,0,0.040939,0,0.307477,0,0,0,0,0,0.144064,0,-0.05596,0,-0.051323,0,0,0,0,0,0,0,0,0,-0.031175,0,-0.100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-1_4,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-1,4,-19769.323,131760.0,0.0,-0.000156,0.0,0.005132,0.0,-0.003369,0.0,0.000846,0,-0.000402,0.0,-0.000991,0.0,-0.000634,0,0.000197,0,0.00013,0.0,0,0,-0.13364,0,0.109059,0,0.417283,0,0,0,0,0,0.099658,0,0.010571,0,0.127334,0,0,0,0,0,0,0,0,0,-0.001336,0,-0.078686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_0_-4,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,0,-4,2814.357,-131760.0,0.0,-0.000342,0.0,-0.038951,0.0,-0.009999,0.0,0.005208,0,-0.00248,0.0,0.000501,0.0,-0.000203,0,0.000263,0,0.000231,0.0,0,0,0.03424,0,-0.080883,0,0.015273,0,0,0,0,0,0.042717,0,0.006166,0,-0.081103,0,0,0,0,0,0,0,0,0,0.007591,0,-0.098849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
