UNIQUE_ID,UNIQUE_ID2,UNIQUE_ID3,STEPSEQ,LOT_ID,Wafer,P_EQPID,Photo_PPID,P_TIME,M_TIME,ChuckID,ReticleID,Base_EQP1,MMO_MRC_EQP,TEST,GROUP,DieX,DieY,STEP_PITCH_X,STEP_PITCH_Y,MAP_SHIFT_X,MAP_SHIFT_Y,coordinate_X,coordinate_Y,fcp_x,fcp_y,wf_x,wf_y,CHIP_X_NUM,CHIP_Y_NUM,X_reg,Y_reg,MRC_X,MRC_Y,MRC_RX,MRC_RY,PSM_X,PSM_Y,mrc_fit_x,mrc_fit_y,X_reg_demrc,Y_reg_demrc,raw_x,raw_y,pred_x,pred_y,residual_x,residual_y,psm_fit_x,psm_fit_y,residual_x_depsm,residual_y_depsm,cpe19p_pred_x,cpe19p_pred_y,cpe19p_resi_x,cpe19p_resi_y,ideal_psm_x,ideal_psm_y,delta_psm_x,delta_psm_y
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-4_-1_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-4,-1,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-87520.363,-32940.0,-93094.983,-42822.0,4,5,0.001405,0.001416,0.0,-0.00017808,0.0,-3e-05,0.0,0.00014808,0.0008984922687111462,0.00020435192293232027,0.0005065077312888538,0.0012116480770676796,0.0005065077312888538,0.0010335680770676796,0.0010266075440091872,7.424964719769554e-05,0.0003783924559908128,0.0013417503528023044,0.0,0.0001480790601163261,0.0003783924559908128,0.0011936712926859782,0.00025022883988897436,0.00042271620305146546,0.00012816361610183842,0.0007709550896345127,-0.00025022883988897436,-0.00042271620305146546,-0.00025022883988897436,-0.0005707952631677916
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-4_1_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-4,1,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-87520.363,32940.0,-93094.983,23058.0,4,5,0.001451,-0.000193,0.0,-0.00033271,0.0,-3e-05,0.0,0.00030271,0.0008984922687111462,-0.0004958848640348871,0.0005525077312888538,0.00030288486403488705,0.0005525077312888538,-2.9825135965112954e-05,0.0009224602231834958,-0.0005330104116257848,0.0005285397768165042,0.00034001041162578475,0.0,0.0003027121509123834,0.0005285397768165042,3.729826071340134e-05,0.00047872171070245613,-4.418502627637534e-06,4.981806611404808e-05,4.1716763341038875e-05,-0.00047872171070245613,4.418502627637534e-06,-0.00047872171070245613,-0.00029829364828474586
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-4_2_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-4,2,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-87520.363,65880.0,-93094.983,55998.0,4,5,0.001507,0.000124,0.0,-0.0002354,0.0,-3e-05,0.0,0.0002054,0.0008984922687111462,-0.0009642414448066186,0.0006085077312888539,0.0010882414448066186,0.0006085077312888539,0.0008528414448066186,0.0010324742963408588,-0.0009909124270035688,0.0004745257036591413,0.0011149124270035688,0.0,0.00020539947461501267,0.0004745257036591413,0.0009095129523885562,0.00026727215907272465,0.00045573778212710755,0.00020725354458641667,0.0004537751702614486,-0.00026727215907272465,-0.00045573778212710755,-0.00026727215907272465,-0.0006611372567421202
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-4_3_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-4,3,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-87520.363,98820.0,-93094.983,88938.0,4,5,0.001083,-0.001177,0.0,-0.00022365,0.0,-3e-05,0.0,0.00019365,0.0008984922687111462,-0.001674403976769476,0.0001845077312888538,0.0004974039767694758,0.0001845077312888538,0.00027375397676947586,0.0012888735311693792,-0.0017082022135099517,-0.00020587353116937918,0.0005312022135099516,0.0,0.00019364694790847335,-0.00020587353116937918,0.0003375552656014783,-0.00018455664066231717,3.30813801479741e-05,-2.1316890507062008e-05,0.0003044738854535042,0.00018455664066231717,-3.30813801479741e-05,0.00018455664066231717,-0.00022672832805644745
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_-3_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,-3,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,-98820.0,-70511.303,-108702.0,4,5,0.00118,0.001272,0.0,-9.911e-05,0.0,-3e-05,0.0,6.911000000000001e-05,0.0005392056756646337,0.001230638520318055,0.0006407943243353664,4.136147968194495e-05,0.0006407943243353664,-5.774852031805506e-05,0.0009270684607460598,0.0009821342306820646,0.0002529315392539403,0.00028986576931793536,0.0,6.910745115395014e-05,0.0002529315392539403,0.00022075831816398522,0.0002463171624212463,-9.343669629646949e-05,6.614376832694011e-06,0.0003141950144604547,-0.0002463171624212463,9.343669629646949e-05,-0.0002463171624212463,2.4329245142519352e-05
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_-2_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,-2,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,-65880.0,-70511.303,-75762.0,4,5,0.000677,0.000763,0.0,-0.00016194,0.0,-3e-05,0.0,0.00013194,0.0005392056756646337,0.000556407113927755,0.0001377943243353663,0.000206592886072245,0.0001377943243353663,4.465288607224499e-05,0.0007860525273084752,0.0004120227858559312,-0.0001090525273084752,0.0003509772141440688,0.0,0.00013194299233966846,-0.0001090525273084752,0.00021903422180440032,-0.00026109046990276607,-0.00035702274814779537,0.00015203794259429086,0.0005760569699521957,0.00026109046990276607,0.00035702274814779537,0.00026109046990276607,0.0002250797558081269
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_-1_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,-1,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,-32940.0,-70511.303,-42822.0,4,5,0.000495,0.000908,0.0,-0.00020093,0.0,-3e-05,0.0,0.00017093,0.0005392056756646337,0.00013421209083313933,-4.4205675664633686e-05,0.0007737879091668607,-4.4205675664633686e-05,0.0005728579091668607,0.0006655008986065117,6.30275897414496e-05,-0.00017050089860651165,0.0008449724102585504,0.0,0.0001709262162403516,-0.00017050089860651165,0.0006740461940181988,-0.00045382433286808517,5.051115549405785e-06,0.0002833234342615735,0.000668995078468793,0.00045382433286808517,-5.051115549405785e-06,0.00045382433286808517,-0.00017597733178975738
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_0_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,0,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,0.0,-70511.303,-9882.0,4,5,0.000324,0.00062,0.0,-0.00024844,0.0,-3e-05,0.0,0.00021844,0.0005392056756646337,-0.00015818191871507209,-0.00021520567566463367,0.0007781819187150721,-0.00021520567566463367,0.0005297419187150721,0.0005941585791084336,-0.00018225619302480767,-0.0002701585791084336,0.0008022561930248076,0.0,0.000218435579599012,-0.0002701585791084336,0.0005838206134257956,-0.0005920205499853347,0.00024776945896632616,0.00032186197087690106,0.00033605115445946944,0.0005920205499853347,-0.00024776945896632616,0.0005920205499853347,-0.0004662050385653381
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_1_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,1,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,32940.0,-70511.303,23058.0,4,5,0.000919,0.000515,0.0,-0.00033433,0.0,-3e-05,0.0,0.0003043299999999,0.0005392056756646337,-0.0004430102844661594,0.0003797943243353663,0.0009580102844661594,0.0003797943243353663,0.0006236802844661594,0.000600770573282506,-0.00044123339780626804,0.000318229426717494,0.0009562333978062681,0.0,0.0003043284623439947,0.000318229426717494,0.0006519049354622734,0.00040725134000275866,0.00025085751341179686,-8.902191328526469e-05,0.00040104742205047657,-0.00040725134000275866,-0.00025085751341179686,-0.00040725134000275866,-0.0005551859757557916
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_2_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,2,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,65880.0,-70511.303,55998.0,4,5,0.000443,-0.000237,0.0,-0.00016163,0.0,-3e-05,0.0,0.00013163,0.0005392056756646337,-0.0008425083761694025,-9.62056756646337e-05,0.0006055083761694025,-9.62056756646337e-05,0.0004438783761694025,0.0007140818855969933,-0.0008313088599663589,-0.0002710818855969933,0.0005943088599663589,0.0,0.00013163436227170327,-0.0002710818855969933,0.0004626744976946556,-0.0002482342574946418,0.00018266529658127526,-2.2847628102351536e-05,0.00028000920111338035,0.0002482342574946418,-0.00018266529658127526,0.0002482342574946418,-0.00031429965885297856
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_3_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,3,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,98820.0,-70511.303,88938.0,4,5,0.001166,-0.000712,0.0,-9.461e-05,0.0,-3e-05,0.0,6.461e-05,0.0005392056756646337,-0.0014789115635740814,0.0006267943243353663,0.0007669115635740814,0.0006267943243353663,0.0006723015635740814,0.0009628375205201603,-0.0014698874148685076,0.00020316247947983963,0.0007578874148685077,0.0,6.461298447451368e-05,0.00020316247947983963,0.000693274430393994,6.128412181936742e-06,0.0003912029757595674,0.00019703406729790288,0.0003020714546344266,-6.128412181936742e-06,-0.0003912029757595674,-6.128412181936742e-06,-0.0004558159602340811
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-3_4_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-3,4,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-64936.683000000005,131760.0,-70511.303,121878.0,4,5,0.000577,-0.002045,0.0,-0.00031161,0.0,-3e-05,0.0,0.0002816099999999,0.0005392056756646337,-0.002474455216429476,3.7794324335366355e-05,0.00042945521642947593,3.7794324335366355e-05,0.00011784521642947595,0.0013757824825202719,-0.0024743738978761417,-0.0007987824825202718,0.00042937389787614175,0.0,0.00028161401919848136,-0.0007987824825202718,0.00014775987867766038,-0.0006453899627144854,8.063231659631231e-05,-0.00015339251980578644,6.712756208134807e-05,0.0006453899627144854,-8.063231659631231e-05,0.0006453899627144854,-0.00036224633579479365
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-2_-3_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-2,-3,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-42353.003,-98820.0,-47927.623,-108702.0,4,5,0.001278,0.001785,0.0,-0.00031762,0.0,-3e-05,0.0,0.00028762,0.00029318666471303155,0.0011032918661115902,0.0009848133352869685,0.0006817081338884097,0.0009848133352869685,0.00036408813388840973,0.000643906675924949,0.0009099638123240913,0.000634093324075051,0.0008750361876759086,0.0,0.0002876201362404897,0.000634093324075051,0.000587416051435419,0.0006434536051802324,-0.0001403907252240197,-9.360281105181374e-06,0.0007278067766594387,-0.0006434536051802324,0.0001403907252240197,-0.0006434536051802324,-0.00014722941101647
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-2_0_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-2,0,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-42353.003,0.0,-47927.623,-9882.0,4,5,-0.000318,0.000232,0.0,2.771e-05,0.0,-3e-05,0.0,-5.771e-05,0.00029318666471303155,-0.00017850128204310086,-0.0006111866647130315,0.00041050128204310086,-0.0006111866647130315,0.0004382112820431009,0.00040493397707966507,-0.00019467538069967562,-0.000722933977079665,0.0004266753806996756,0.0,-5.7711738859008715e-05,-0.000722933977079665,0.0004843871195586843,-0.00039899673497706184,0.0003220244902943509,-0.0003239372421026032,0.00016236262926433345,0.00039899673497706184,-0.0003220244902943509,0.00039899673497706184,-0.00026431275143534217
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-2_3_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-2,3,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-42353.003,98820.0,-47927.623,88938.0,4,5,0.001205,-0.000373,0.0,-0.00040376,0.0,-3e-05,0.0,0.00037376,0.00029318666471303155,-0.0013480959366164674,0.0009118133352869684,0.0009750959366164674,0.0009118133352869684,0.0005713359366164674,0.0007690825497214268,-0.0013245932663813998,0.0004359174502785731,0.0009515932663813997,0.0,0.0003737586041177455,0.0004359174502785731,0.0005778346622636542,0.00027128539716918146,0.00028636839146065003,0.00016463205310939162,0.0002914662708030042,-0.00027128539716918146,-0.00028636839146065003,-0.00027128539716918146,-0.0006601269955783956
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-1_-4_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-1,-4,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-19769.323,-131760.0,-25343.943,-141642.0,4,5,4.7e-05,0.002919,0.0,-0.00075951,0.0,-3e-05,0.0,0.00072951,0.00012104303548162767,0.0020429133224991506,-7.404303548162768e-05,0.0008760866775008496,-7.404303548162768e-05,0.00011657667750084955,0.000498963248020679,0.0017769945638232503,-0.000451963248020679,0.0011420054361767499,0.0,0.0007295142772546269,-0.000451963248020679,0.00041249115892212293,-0.00044756975117360735,0.00017965644259242274,-4.393496847071674e-06,0.0002328347163297002,0.00044756975117360735,-0.00017965644259242274,0.00044756975117360735,-0.0009091707198470496
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-1_-2_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-1,-2,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-19769.323,-65880.0,-25343.943,-75762.0,4,5,0.000743,0.000906,0.0,-0.00028909,0.0,-3e-05,0.0,0.0002590899999999,0.00012104303548162767,0.0003965163602934814,0.0006219569645183723,0.0005094836397065187,0.0006219569645183723,0.0002203936397065187,0.0004064919681485884,0.0002820999450267293,0.00033650803185141155,0.0006239000549732707,0.0,0.0002590926236343034,0.00033650803185141155,0.00036480743133896724,0.0004908723411070599,9.718350919219505e-05,-0.0001543643092556483,0.00026762392214677217,-0.0004908723411070599,-9.718350919219505e-05,-0.0004908723411070599,-0.0003562761328264985
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_25_-1_-1_E1,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,BVHBGLA0K3,PTVB827-BVHBACA0K1,-,25,E1,-1,-1,22583.68,32940.0,2814.357,0.0,-5574.62,-9882.0,-19769.323,-32940.0,-25343.943,-42822.0,4,5,0.000659,-0.000359,0.0,7.565e-05,0.0,-3e-05,0.0,-0.0001056499999999,0.00012104303548162767,2.7192705477881984e-05,0.0005379569645183723,-0.000386192705477882,0.0005379569645183723,-0.000310542705477882,0.0003437577658944065,-4.231653846271633e-05,0.00031524223410559345,-0.00031668346153728366,0.0,-0.00010564881682600384,0.00031524223410559345,-0.00021103464471127983,0.00026154086870315086,-0.00021324777705536747,5.370136540244259e-05,2.2131323440876345e-06,-0.00026154086870315086,0.00021324777705536747,-0.00026154086870315086,0.0003188965938813713
